Source_Page,Table_Index,Party,1990,1990,1994,1994,1998,1998,2002,2002,2006,2006,2011,2011,2016,2016,2021,2021
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Mecklenburg-Vorpommern,1,Wahlbeteiligung,"64,7",66,"72,9",71,"79,4",71,"70,6",71,"59,1",71,"51,5",71,"61,9",71,"70,8",79
Mecklenburg-Vorpommern,1,CDU,"38,3",29,"37,7",30,"30,2",24,"31,4",25,"28,8",22,"23,0",18,"19,0",16,"13,3",12
Mecklenburg-Vorpommern,1,SPD,"27,0",21,"29,5",23,"34,3",27,"40,6",33,"30,2",23,"35,6",27,"30,6",26,"39,6",34
Mecklenburg-Vorpommern,1,Die Linke.¹,"15,7",12,"22,7",18,"24,4",20,"16,4",13,"16,8",13,"18,4",14,"13,2",11,"9,9",9
Mecklenburg-Vorpommern,1,FDP²,"5,5",4,"3,8",–,"1,6",–,"4,7",–,"9,6",7,"2,8",–,"3,0",–,"5,8",5
Mecklenburg-Vorpommern,1,GRÜNE,"6,4³",–,"3,7",–,"2,7",–,"2,6",–,"3,4",–,"8,7",7,"4,8",–,"6,3",5
Mecklenburg-Vorpommern,1,NPD,"0,2",–,"0,1",–,"1,1",–,"0,8",–,"7,3",6,"6,0",5,"3,0",–,"0,8",–
Mecklenburg-Vorpommern,1,AfD,–,–,–,–,–,–,–,–,–,–,–,–,"20,8",18,"16,7",14
Mecklenburg-Vorpommern,1,REP,"0,9",–,"1,0",–,"0,5",–,"0,3",–,–,–,"0,1",–,–,–,–,–
Mecklenburg-Vorpommern,1,DVU,–,–,–,–,"2,9",–,–,–,–,–,–,–,–,–,–,–
Mecklenburg-Vorpommern,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,"1,9",–,"0,5",–,"0,4",–
Mecklenburg-Vorpommern,1,Sonstige,"6,1",–,"1,6",–,"2,4",–,"3,2",–,"4,0",–,"3,6",–,"5,2",–,"7,2",–
