Source_Page,Table_Index,Party,1990,1990,1994,1994,1999,1999,2004,2004,2009,2009,2014,2014,2019,2019,2024*,2024*
,,,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze,%,Sitze
Thüringen,1,Wahlbeteiligung,"71,7",89,"74,8",88,"59,9",88,"53,8",88,"56,2",88,"52,7",91,"64,9",90,"73,6",88
Thüringen,1,CDU,"45,4",44,"42,6",42,"51,0",49,"43,0",45,"31,2",30,"33,5",34,"21,8",21,"23,6",23
Thüringen,1,SPD,"22,8",21,"29,6",29,"18,5",18,"14,5",15,"18,5",18,"12,4",12,"8,2",8,"6,1",6
Thüringen,1,DIE LINKE,"9,7",9,"16,6",17,"21,4",21,"26,1",28,"27,4",27,"28,2",28,"31,0",29,"13,1",12
Thüringen,1,B‘90/GRÜNE,"6,5",6,"4,5",–,"1,9",–,"4,5",–,"6,2",6,"5,7",6,"5,2",5,"3,2",–
Thüringen,1,FDP,"9,3",9,"3,2",–,"1,1",–,"3,6",–,"7,6",7,"2,5",–,"5,0",5,"1,1",–
Thüringen,1,AfD,–,–,–,–,–,–,–,–,–,–,"10,6",11,"23,4",22,"32,8",32
Thüringen,1,BSW,–,–,–,–,–,–,–,–,–,–,–,–,–,–,"15,8",15
Thüringen,1,Freie Wähler Thüringen,–,–,–,–,–,–,"2,6",–,"3,9",–,"1,7",–,–,–,"1,3",–
Thüringen,1,NPD,–,–,–,–,–,–,"1,6",–,"4,3",–,"3,6",–,"0,5",–,–,–
Thüringen,1,DVU,–,–,–,–,"3,1",–,–,–,–,–,–,–,–,–,–,–
Thüringen,1,REP,"0,8",–,"1,3",–,"0,8",–,"2,0",–,"0,4",–,"0,2",–,–,–,–,–
Thüringen,1,Neues Forum,–,–,"1,1",–,"0,3",–,–,–,–,–,–,–,–,–,–,–
Thüringen,1,DSU,"3,3",–,"0,2",–,"0,2",–,–,–,–,–,–,–,–,–,–,–
Thüringen,1,PIRATEN,–,–,–,–,–,–,–,–,–,–,"1,0",–,"0,4",–,"0,3",–
Thüringen,1,Sonstige,"2,3",–,"1,0",–,"1,8",–,"2,2",–,"0,4",–,"0,7",–,"4,5",–,"2,6",–
